65969264,65973664,66129224,66129264,66133664,66289224,66289264,66292064,66293664,66449224,
66449264,66453664,66609224,66609264,66613664,66769224,66769264,66773664,66929224,66929264,
66933664,67089224,67089264,67093664,67249224,67249264,67252464,67252524,67253664,67409224,
67409264,67412064,67413664,67569224,67569264,67573664,67614086,67729224,67729264,67732064,
67733664,67889224,67889264,67889384,67889424,67892424,67892464,67892524,67892584,67892624,
67893664,67894148,67925908,67926188,67926268,67926308,67927908,68049224,68049264,68053664,
68209224,68209228,68209264,68209268,68212428,68212468,68212528,68213664,68213668,68225304,
68225464,68241224,68241228,68241264,68241268,68241384,68244428,68244468,68244588,68244628,
68244708,68245664,68245668,68245828,68245908,68246308,68247908,68369224,68369264,68373664,
68529224,68529264,68529424,68533664,68689224,68689264,68693664,68849224,68849264,68853664,
69009224,69009264,69009404,69012064,69013664,69169224,69169264,69169384,69173664,69329224,
69329264,69333664,69489224,69489264,69492064,69493664,69649224,69649264,69652530,69653664,
69809224,69809264,69813664,69969224,69969264,69973664,70129224,70129264,70133664,70289224,
70289264,70292528,70292530,70293664,70449224,70449264,70452464,70453664,70609224,70609264,
70612064,70613664,70769224,70769264,70773664,70814086,70929224,70929264,70932064,70933664,
71089224,71089264,71092464,71093664,71094148,71125908,71126188,71126268,71126308,71127908,
71249224,71249264,71253664,71409224,71409228,71409264,71413664,71425304,71425464,71441224,
71441228,71444708,71445908,71446308,71447908,71454086,71454088,71569224,71569264,71573664,
71729224,71729264,71733664,71889224,71889264,71893664,72049224,72049264,72053664,72195286,
72195290,72195326,72195330,72195334,72195386,72195466,72195546,72196486,72196490,72209224,
72209264,72212064,72213664,72315286,72315290,72316486,72316490,72369224,72369264,72373664,
72529224,72529264,72533664,72689224,72689264,72692064,72693664,72849224,72849264,72853664,
73009224,73009264,73013664,73169224,73169264,73173664,73329224,73329264,73333664,73489224,
73489264,73493664,73649224,73649264,73652464,73653664,73809224,73809264,73812064,73813664,
73969224,73969264,73973664,74014086,74129224,74129264,74132064,74133664,74289224,74289264,
74289384,74289424,74292424,74292464,74292584,74292624,74293664,74293824,74294148,74325908,
74326188,74326268,74326308,74327908,74449224,74449264,74453664,74609224,74609228,74609264,
74613664,74625304,74625464,74641224,74641228,74641384,74642828,74645908,74646308,74647908,
74769224,74769264,74773664,74929224,74929264,74929424,74932424,74932464,74932624,74933664,
74933824,75089224,75089264,75092064,75093664,75249224,75249264,75253664,75409224,75409264,
75412024,75412064,75412224,75413664,75569224,75569264,75569384,75573664,75729224,75729264,
75733664,75889224,75889264,75891504,75892064,75892224,75893664,76049224,76049264,76051304,
76051364,76051464,76051504,76053664,76066130,76070166,76071766,76209224,76209264,76213664,
76369224,76369264,76373664,76529224,76529264,76533664,76689224,76689264,76691504,76693664,
76849224,76849264,76853664,76996226,77009224,77009264,77012064,77013664,77169224,77169264,
77173664,77214086,77316106,77316188,77316268,77324188,77324268,77329224,77329264,77332064,
77332068,77332188,77332268,77333664,77334148,77340188,77340268,77348106,77348188,77348268,
77356188,77356228,77356266,77356268,77356308,77364188,77364228,77364268,77364308,77364588,
77364628,77364668,77364708,77365828,77365908,77366188,77366228,77366268,77366308,77367828,
77367908,77372188,77372268,77380188,77380268,77388188,77388228,77388268,77388308,77396188,
77396268,77404188,77404268,77412188,77412268,77420188,77420268,77428188,77428268,77436188,
77436268,77489224,77489264,77493664,77494148,77525908,77526188,77526268,77526308,77527908,
77649224,77649264,77653664,77809224,77809228,77809264,77813664,77841224,77841228,77845908,
77846308,77847908,77969224,77969264,77973664,78129224,78129264,78133664,78289224,78289264,
78293664,78449224,78449264,78453664,78494086,78609224,78609230,78609264,78613664,78769224,
78769264,78773664,78929224,78929264,78933664,79089224,79089264,79092064,79092068,79093664,
79249224,79249264,79253664,79409224,79409264,79413664,79569224,79569264,79573664,79729224,
79729264,79733664,79889224,79889264,79893664,80049224,80049264,80053664,80209224,80209264,
80212064,80213664,80369224,80369264,80373664,80414086,80516530,80529224,80529264,80532024,
80532064,80533664,80689224,80689264,80693664,80694148,80725908,80726188,80726268,80726308,
80727908,80849224,80849264,80853664,81009224,81009228,81009264,81013664,81041224,81041228,
81041264,81041504,81045664,81045908,81046308,81047908,81169224,81169264,81173664,81329224,
81329264,81333664,81489224,81489264,81493664,81649224,81649264,81653664,81809224,81809264,
81813664,81969224,81969264,81973664,82129224,82129264,82133664,82289224,82289264,82292064,
82293664,82449224,82449264,82453664,82609224,82609264,82613664,82769224,82769264,82773664,
82929224,82929264,82933664,83089224,83089264,83093664,83236546,83249224,83249264,83253664,
83409224,83409264,83412064,83413664,83569224,83569264,83573664,83614086,83716024,83716028,
83724024,83724028,83729224,83729228,83729264,83729268,83732024,83732028,83732064,83732068,
83732308,83733664,83733668,83740024,83740028,83761224,83761264,83762028,83762068,83764024,
